name,time,value,timeout,delta_time
angle,1780511797010864089,-0.000869323150254786,0,0.00999989453703165
angle,1780511797044328098,-0.000874211546033621,0,0.00999989453703165
angle,1780511797076280103,-0.000879090628586709,0,0.009999822825193405
angle,1780511797108667545,-0.000883960747160017,0,0.009999912232160568
angle,1780511797140999765,-0.000888821727130562,0,0.009999900124967098
angle,1780511797172725248,-0.000893672870006412,0,0.00999987032264471
angle,1780511797203882526,-0.000898513477295637,0,0.009999985806643963
angle,1780511797235156617,-0.000903342443052679,0,0.009999887086451054
angle,1780511797266989759,-0.000908158952370286,0,0.009999804198741913
angle,1780511797298929230,-0.000912962248548865,0,0.009999898262321949
angle,1780511797330178245,-0.000917751749511808,0,0.009999893605709076
angle,1780511797363712423,-0.000922527338843793,0,0.009999903850257397
angle,1780511797395118585,-0.000927289016544819,0,0.009999820962548256
angle,1780511797427517513,-0.000932037073653191,0,0.009999953210353851
angle,1780511797460442107,-0.000936772034037858,0,0.009999742731451988
angle,1780511797492905012,-0.000941494363360107,0,0.009999879635870457
angle,1780511797524895853,-0.000946204527281225,0,0.009999851696193218
angle,1780511797556472683,-0.00095090304967016,0,0.009999877773225307
angle,1780511797587672072,-0.000955590279772878,0,0.00999999139457941
angle,1780511797619549255,-0.000960266159381717,0,0.009999878704547882
angle,1780511797650987864,-0.000964930863119662,0,0.009999838657677174
angle,1780511797683547888,-0.000969584158156067,0,0.009999844245612621
angle,1780511797716315005,-0.00097422581166029,0,0.009999845176935196
angle,1780511797749597912,-0.000978855649009347,0,0.009999853558838367
angle,1780511797781911629,-0.000983473146334291,0,0.00999988429248333
angle,1780511797813634420,-0.00098807830363512,0,0.009999859146773815
angle,1780511797844580650,-0.000992670771665871,0,0.009999927133321762
angle,1780511797876382550,-0.000997250434011221,0,0.009999914094805717
angle,1780511797907255201,-0.001001817407086492,0,0.009999915957450867
angle,1780511797938025966,-0.001006371690891683,0,0.009999931789934635
angle,1780511797969860674,-0.001010913401842117,0,0.009999861940741539
angle,1780511798000971818,-0.001015442772768438,0,0.009999926201999187
angle,1780511798033061462,-0.001019959803670645,0,0.009999901056289673
angle,1780511798064831224,-0.001024464843794703,0,0.009999888949096203
angle,1780511798098276161,-0.001028957893140614,0,0.009999869391322136
angle,1780511798129337043,-0.001033438951708376,0,0.009999861009418964
angle,1780511798160558068,-0.001037908135913312,0,0.009999916888773441
angle,1780511798191739272,-0.001042365445755422,0,0.009999934583902359
angle,1780511798224749407,-0.001046810764819384,0,0.00999994482845068
angle,1780511798256222501,-0.001051243860274553,0,0.009999874979257584
angle,1780511798288095857,-0.001055664848536253,0,0.009999878704547882
angle,1780511798319986171,-0.001060073496773839,0,0.009999850764870644
angle,1780511798351655347,-0.001064469804987311,0,0.009999898262321949
angle,1780511798383294369,-0.001068853889591992,0,0.009999983012676239
angle,1780511798414405291,-0.001073225401341915,0,0.009999864734709263
angle,1780511798448426874,-0.001077584689483047,0,0.009999950416386127
angle,1780511798480969072,-0.001081931637600064,0,0.009999698027968407
angle,1780511798512967715,-0.001086266129277647,0,0.009999880567193031
angle,1780511798545623985,-0.001090588513761759,0,0.009999845176935196
angle,1780511798577532500,-0.001094898674637079,0,0.009999876841902733
angle,1780511798610008544,-0.00109919672831893,0,0.009999875910580158
angle,1780511798642176610,-0.001103482558391988,0,0.009999766945838928
angle,1780511798673794394,-0.001107756397686899,0,0.0099998340010643
angle,1780511798705128214,-0.001112018013373017,0,0.009999834932386875
angle,1780511798736764030,-0.001116267521865666,0,0.00999993272125721
angle,1780511798768328938,-0.001120504806749523,0,0.009999836795032024
angle,1780511798800143086,-0.001124729984439909,0,0.00999980978667736
angle,1780511798831152701,-0.001128942938521504,0,0.009999757632613182
angle,1780511798862936993,-0.001133143552578986,0,0.00999986007809639
angle,1780511798894910202,-0.001137332059442997,0,0.009999879635870457
angle,1780511798926197773,-0.001141508226282895,0,0.009999826550483704
angle,1780511798958440502,-0.001145672169514,0,0.009999910369515419
angle,1780511798989119771,-0.001149823889136314,0,0.009999903850257397
angle,1780511799009481787,-0.001153963385149837,0,0.009999841451644897
angle,1780511799037708676,-0.001158090657554567,0,0.009999743662774563
angle,1780511799070102396,-0.001162205706350505,0,0.009999810717999935
angle,1780511799102163297,-0.001166308647952974,0,0.009999686852097511
angle,1780511799129323043,-0.001170399249531329,0,0.0099997753277421
angle,1780511799157580753,-0.001174477743916214,0,0.009999929927289486
angle,1780511799189295983,-0.001178544131107628,0,0.009999885223805904
angle,1780511799224216373,-0.001182598294690251,0,0.009999919682741165
angle,1780511799257801070,-0.001186640351079404,0,0.009999892674386501
angle,1780511799290216771,-0.001190670183859766,0,0.009999873116612434
angle,1780511799321663973,-0.001194687793031335,0,0.009999911300837994
angle,1780511799353219592,-0.001198693295009434,0,0.00999992061406374
angle,1780511799385883950,-0.001202686573378742,0,0.00999993085861206
angle,1780511799416681820,-0.001206667744554579,0,0.009999880567193031
angle,1780511799449319719,-0.001210636692121625,0,0.009999868459999561
angle,1780511799480863956,-0.001214593416079879,0,0.009999851696193218
angle,1780511799515450843,-0.001218537916429341,0,0.009999855421483517
angle,1780511799547906862,-0.001222470309585333,0,0.009999848902225494
angle,1780511799579857030,-0.001226390479132533,0,0.009999941103160381
angle,1780511799611097615,-0.001230298425070941,0,0.009999955072999
angle,1780511799643311348,-0.00123419426381588,0,0.009999921545386314
angle,1780511799675344891,-0.001238077878952026,0,0.009999820962548256
angle,1780511799706709042,-0.001241949386894703,0,0.009999954141676426
angle,1780511799738607507,-0.001245808787643909,0,0.009999796748161316
angle,1780511799770783063,-0.001249655964784324,0,0.00999970082193613
