name,time,value,timeout,delta_time
angle,1780513902012398762,-0.001866977312602103,0,0.009999897330999374
angle,1780513902037105096,-0.001869610976427794,0,0.009999879635870457
angle,1780513902059124874,-0.00187223160173744,0,0.009999869391322136
angle,1780513902083126538,-0.001874839188531041,0,0.009999883361160755
angle,1780513902105110825,-0.00187743385322392,0,0.009999913163483143
angle,1780513902127579049,-0.001880015479400754,0,0.00999990664422512
angle,1780513902155665891,-0.001882584183476865,0,0.009999901056289673
angle,1780513902177880015,-0.001885139849036932,0,0.009999843314290047
angle,1780513902202986024,-0.001887682592496276,0,0.009999931789934635
angle,1780513902230888046,-0.001890212297439575,0,0.009999850764870644
angle,1780513902256379708,-0.001892729080282152,0,0.009999805130064487
angle,1780513902280844058,-0.001895232824608684,0,0.00999999325722456
angle,1780513902307238171,-0.001897723646834493,0,0.009999921545386314
angle,1780513902329974401,-0.001900201546959579,0,0.009999865666031837
angle,1780513902353953902,-0.001902666524983943,0,0.00999988429248333
angle,1780513902376975937,-0.001905118580907583,0,0.009999910369515419
angle,1780513902398828024,-0.001907557714730501,0,0.009999883361160755
angle,1780513902424691693,-0.001909984042868018,0,0.009999889880418777
angle,1780513902450168138,-0.001912397448904812,0,0.009999915026128292
angle,1780513902471756150,-0.001914798049256206,0,0.009999771602451801
angle,1780513902495759767,-0.001917185727506876,0,0.00999988242983818
angle,1780513902517211045,-0.001919560600072145,0,0.009999889880418777
angle,1780513902541096955,-0.001921922550536692,0,0.009999841451644897
angle,1780513902565569037,-0.00192427181173116,0,0.009999952279031277
angle,1780513902590950343,-0.001926608150824904,0,0.009999954141676426
angle,1780513902612734226,-0.001928931684233248,0,0.009999878704547882
angle,1780513902636770522,-0.001931242411956191,0,0.009999866597354412
angle,1780513902658645186,-0.001933540333993733,0,0.009999983012676239
angle,1780513902683158952,-0.001935825566761196,0,0.00999979954212904
angle,1780513902704889054,-0.001938097993843257,0,0.009999975562095642
angle,1780513902728142526,-0.001940357615239918,0,0.00999993085861206
angle,1780513902752111793,-0.001942604430951178,0,0.009999947622418404
angle,1780513902773570529,-0.001944838673807681,0,0.009999899193644524
angle,1780513902796926907,-0.001947060110978782,0,0.009999925270676613
angle,1780513902821606044,-0.001949268742464483,0,0.009999898262321949
angle,1780513902843077451,-0.001951464801095426,0,0.009999832138419151
angle,1780513902867175029,-0.00195364817045629,0,0.009999855421483517
angle,1780513902888229330,-0.001955818850547075,0,0.009999778121709824
angle,1780513902909113945,-0.001957976724952459,0,0.009999777190387249
angle,1780513902933981388,-0.001960122026503086,0,0.009999931789934635
angle,1780513902957361874,-0.001962254522368312,0,0.0099997129291296
angle,1780513902980662407,-0.00196437444537878,0,0.009999825619161129
angle,1780513903005568703,-0.001966481795534492,0,0.009999903850257397
angle,1780513903036560467,-0.001968576572835445,0,0.009999911300837994
angle,1780513903063249470,-0.001970658544450998,0,0.009999733418226242
angle,1780513903088295718,-0.001972728176042438,0,0.00999999325722456
angle,1780513903112090082,-0.001974785001948476,0,0.009999864734709263
angle,1780513903136699477,-0.0019768294878304,0,0.009999868459999561
angle,1780513903161452058,-0.001978861168026924,0,0.009999857284128666
angle,1780513903185782098,-0.001980880508199334,0,0.009999903850257397
angle,1780513903211324483,-0.001982887042686343,0,0.009999845176935196
angle,1780513903236704627,-0.001984881237149239,0,0.009999777190387249
angle,1780513903259942035,-0.001986862858757377,0,0.00999985821545124
angle,1780513903282165908,-0.001988832140341401,0,0.009999907575547695
angle,1780513903307773160,-0.001990788616240025,0,0.00999982189387083
