name,time,value,timeout,delta_time
angle,1780514204008627228,-0.000962078047450632,0,0.009999925270676613
angle,1780514204033185520,-0.000963174214120954,0,0.009999902918934822
angle,1780514204056499009,-0.000964264094363898,0,0.0099998963996768
angle,1780514204081223731,-0.000965347688179463,0,0.00999989453703165
angle,1780514204104629259,-0.000966425053775311,0,0.009999817237257957
angle,1780514204126898124,-0.000967496132943779,0,0.009999938309192657
angle,1780514204152616522,-0.000968560925684869,0,0.009999817237257957
angle,1780514204176384360,-0.000969619548413903,0,0.009999975562095642
angle,1780514204200461781,-0.000970671884715557,0,0.009999909438192844
angle,1780514204224316826,-0.000971717934589833,0,0.009999876841902733
angle,1780514204247744376,-0.000972757756244391,0,0.009999730624258518
angle,1780514204274929179,-0.000973791407886893,0,0.009999873116612434
angle,1780514204297227301,-0.000974818714894354,0,0.009999885223805904
angle,1780514204320564333,-0.000975839851889759,0,0.009999904781579971
angle,1780514204343392152,-0.000976854818873107,0,0.009999927133321762
angle,1780514204367192449,-0.000977863441221416,0,0.009999790228903294
angle,1780514204391880761,-0.000978865893557668,0,0.009999850764870644
angle,1780514204416326111,-0.000979862175881863,0,0.009999883361160755
angle,1780514204438807568,-0.000980852288194001,0,0.009999812580645084
angle,1780514204464850323,-0.00098183611407876,0,0.009999943897128105
angle,1780514204493364218,-0.000982813769951463,0,0.009999780915677547
angle,1780514204517862003,-0.000983785255812109,0,0.009999771602451801
angle,1780514204542590166,-0.000984750571660697,0,0.009999904781579971
angle,1780514204566097764,-0.00098570971749723,0,0.009999727830290794
angle,1780514204589105672,-0.000986662693321705,0,0.00999979954212904
angle,1780514204612376555,-0.000987609499134123,0,0.009999848902225494
angle,1780514204635500180,-0.000988550251349807,0,0.009999886155128479
angle,1780514204662627070,-0.000989484717138112,0,0.0099998963996768
angle,1780514204691977366,-0.000990413129329681,0,0.009999793022871017
angle,1780514204720222382,-0.000991335371509194,0,0.009999892674386501
angle,1780514204746919635,-0.000992251443676651,0,0.009999904781579971
angle,1780514204776886120,-0.000993161462247372,0,0.00999990664422512
angle,1780514204804051055,-0.000994065310806036,0,0.00999987032264471
angle,1780514204831495951,-0.000994962989352643,0,0.009999864734709263
angle,1780514204854308574,-0.000995854614302516,0,0.009999836795032024
angle,1780514204879048440,-0.000996740185655653,0,0.00999986007809639
angle,1780514204902961646,-0.000997619586996734,0,0.009999898262321949
angle,1780514204932398615,-0.00099849293474108,0,0.009999845176935196
angle,1780514204960619669,-0.00099936022888869,0,0.009999839588999748
angle,1780514204991816266,-0.001000221353024244,0,0.009999771602451801
angle,1780514205020226342,-0.001001076423563063,0,0.009999753907322884
angle,1780514205049924638,-0.001001925440505147,0,0.009999861940741539
angle,1780514205077501930,-0.001002768403850496,0,0.009999780915677547
angle,1780514205106086787,-0.00100360531359911,0,0.00999990664422512
angle,1780514205135988375,-0.001004436169750988,0,0.009999753907322884
angle,1780514205163567955,-0.001005260972306132,0,0.009999910369515419
angle,1780514205191378503,-0.001006079721264541,0,0.009999778121709824
angle,1780514205214494154,-0.001006892416626215,0,0.009999863803386688
angle,1780514205237963918,-0.001007699174806476,0,0.009999936446547508
angle,1780514205261134801,-0.001008499879390001,0,0.009999890811741352
angle,1780514205289824237,-0.001009294530376792,0,0.009999914094805717
angle,1780514205317337447,-0.001010083244182169,0,0.009999898262321949
angle,1780514205347496250,-0.001010865904390812,0,0.009999807924032211
angle,1780514205377558099,-0.001011642627418041,0,0.009999883361160755
angle,1780514205405154826,-0.001012413296848536,0,0.009999878704547882
angle,1780514205434372772,-0.001013178029097617,0,0.009999871253967285
angle,1780514205463182192,-0.001013936707749963,0,0.009999838657677174
angle,1780514205491789835,-0.001014689449220896,0,0.009999901987612247
angle,1780514205514831806,-0.001015436253510416,0,0.00999979954212904
angle,1780514205537958450,-0.0010161770042032,0,0.009999834932386875
angle,1780514205560693937,-0.001016911934129894,0,0.009999789297580719
angle,1780514205589201613,-0.001017640810459852,0,0.009999912232160568
angle,1780514205616512450,-0.001018363749608397,0,0.009999815374612808
angle,1780514205643321045,-0.00101908075157553,0,0.00999990664422512
angle,1780514205674271966,-0.00101979193277657,0,0.009999856352806091
angle,1780514205698531182,-0.001020497060380876,0,0.00999979954212904
