name,time,value,timeout,delta_time
angle,1780514053015870199,-0.000944862840697169,0,0.009999836795032024
angle,1780514053042156739,-0.000948004424571991,0,0.00999987218528986
angle,1780514053064448559,-0.000951136404182762,0,0.009999820962548256
angle,1780514053098996843,-0.000954258895944804,0,0.01000000536441803
angle,1780514053126250360,-0.000957371725235134,0,0.009999887086451054
angle,1780514053154624876,-0.000960474950261414,0,0.009999939240515232
angle,1780514053194454183,-0.000963568571023643,0,0.009999877773225307
angle,1780514053215809013,-0.000966652471106499,0,0.009999807924032211
angle,1780514053243048121,-0.000969726766925305,0,0.009999868459999561
angle,1780514053269304262,-0.000972791400272399,0,0.009999873116612434
angle,1780514053302551082,-0.000975846312940121,0,0.009999975562095642
angle,1780514053335201919,-0.000978891621343791,0,0.00999987218528986
angle,1780514053359562228,-0.000981927267275751,0,0.009999909438192844
angle,1780514053404177151,-0.00098495336715132,0,0.009999905712902546
angle,1780514053449054867,-0.000987969688139856,0,0.009999820962548256
angle,1780514053477582502,-0.000990976579487324,0,0.009999671019613743
angle,1780514053500871862,-0.000993973924778402,0,0.009999868459999561
angle,1780514053540174457,-0.000996961607597768,0,0.009999789297580719
angle,1780514053569909669,-0.000999939627945423,0,0.009999859146773815
angle,1780514053597920387,-0.00100290821865201,0,0.009999903850257397
angle,1780514053620716739,-0.001005867146886885,0,0.009999607689678669
angle,1780514053645599085,-0.001008816529065371,0,0.009999915026128292
angle,1780514053693267009,-0.001011756248772144,0,0.009999947622418404
angle,1780514053717454499,-0.001014686422422528,0,0.009999861940741539
angle,1780514053743052740,-0.001017606933601201,0,0.009999817237257957
angle,1780514053765249322,-0.001020517898723483,0,0.00999978557229042
angle,1780514053808179475,-0.001023419317789376,0,0.009999928995966911
angle,1780514053840065848,-0.001026311190798879,0,0.00999995693564415
angle,1780514053861938604,-0.00102919340133667,0,0.00999974925071001
angle,1780514053902158613,-0.001032066065818071,0,0.009999765083193779
angle,1780514053934529205,-0.001034929184243083,0,0.009999803267419338
angle,1780514053956875439,-0.001037782640196383,0,0.009999897330999374
angle,1780514053997690973,-0.001040626666508615,0,0.009999914094805717
angle,1780514054025595605,-0.001043461030349135,0,0.009999904781579971
angle,1780514054057009330,-0.001046285848133266,0,0.009999861940741539
angle,1780514054096047340,-0.001049101119861007,0,0.00999978557229042
angle,1780514054128462703,-0.001051906845532358,0,0.009999801404774189
angle,1780514054155599840,-0.001054703025147319,0,0.009999861009418964
angle,1780514054191369281,-0.00105748965870589,0,0.009999911300837994
angle,1780514054221217704,-0.001060266746208072,0,0.00999990664422512
angle,1780514054248890799,-0.001063034287653863,0,0.009999829344451427
angle,1780514054271648080,-0.001065792283043265,0,0.009999836795032024
angle,1780514054301037158,-0.001068540732376277,0,0.009999825619161129
angle,1780514054340077032,-0.0010712796356529,0,0.009999865666031837
angle,1780514054372292150,-0.001074009109288454,0,0.009999996051192284
angle,1780514054400859175,-0.001076728920452297,0,0.009999871253967285
angle,1780514054436561324,-0.001079439301975071,0,0.009999816305935383
angle,1780514054490970266,-0.001082347589544952,0,0.010768621228635311
angle,1780514054519498352,-0.001085038762539625,0,0.009999938309192657
angle,1780514054551685350,-0.001087720273062587,0,0.009999969974160194
angle,1780514054581663556,-0.001090392237529159,0,0.009999874979257584
angle,1780514054611623844,-0.001093054539524019,0,0.009999819099903107
angle,1780514054647767100,-0.001095707062631845,0,0.009999900124967098
angle,1780514054679352335,-0.001098350039683282,0,0.009999909438192844
angle,1780514054708879549,-0.001100983354263008,0,0.009999951347708702
angle,1780514054738681241,-0.001103607006371021,0,0.009999948553740978
angle,1780514054770848911,-0.001106221228837967,0,0.009999822825193405
angle,1780514054798303172,-0.001108826021663845,0,0.009999941103160381
angle,1780514054829554903,-0.001111421384848654,0,0.009999879635870457
angle,1780514054859040080,-0.001114007434807718,0,0.00999985821545124
angle,1780514054896275559,-0.001116584055125713,0,0.00999987218528986
angle,1780514054920879321,-0.001119151245802641,0,0.009999876841902733
angle,1780514054950480341,-0.0011217090068385,0,0.009999850764870644
angle,1780514055000633933,-0.001124257454648614,0,0.009999890811741352
angle,1780514055032330166,-0.001126796356402338,0,0.009999888017773628
angle,1780514055064648273,-0.001129325828514993,0,0.009999825619161129
angle,1780514055095970319,-0.001131845870986581,0,0.009999902918934822
angle,1780514055127318630,-0.001134356367401779,0,0.009999969974160194
angle,1780514055154050442,-0.001136857317760587,0,0.009999791160225868
angle,1780514055191502634,-0.001139348838478327,0,0.009999862872064114
angle,1780514055217676363,-0.001141830929554999,0,0.009999874047935009
angle,1780514055247245662,-0.001144303474575281,0,0.009999974630773067
angle,1780514055273660544,-0.001146766589954495,0,0.009999901056289673
angle,1780514055303686012,-0.001149220275692642,0,0.009999849833548069
angle,1780514055334629969,-0.001151664648205042,0,0.00999981164932251
angle,1780514055363984019,-0.001154099474661052,0,0.009999931789934635
angle,1780514055402683882,-0.001156524987891316,0,0.009999842382967472
angle,1780514055432902054,-0.001158941187895834,0,0.00999993085861206
angle,1780514055459727143,-0.001161347958259284,0,0.009999953210353851
angle,1780514055499955959,-0.001163745415396988,0,0.009999869391322136
angle,1780514055535765493,-0.001166133326478302,0,0.00999978557229042
angle,1780514055560569620,-0.001168512040749192,0,0.00999986007809639
angle,1780514055592616150,-0.001170881208963692,0,0.009999917820096016
angle,1780514055639923368,-0.001173241063952446,0,0.00999982375651598
angle,1780514055669870517,-0.001175591489300132,0,0.00999996718019247
angle,1780514055697944899,-0.00117793248500675,0,0.009999916888773441
angle,1780514055738475323,-0.001180264167487621,0,0.0099998963996768
angle,1780514055765573999,-0.001182586420327425,0,0.009999843314290047
angle,1780514055793296262,-0.001184899359941483,0,0.00999975111335516
angle,1780514055820737808,-0.001187202986329794,0,0.009999875910580158
angle,1780514055847041368,-0.001189497183077037,0,0.009999844245612621
angle,1780514055893270315,-0.001191782066598535,0,0.009999768808484077
angle,1780514055918698127,-0.001194057636894286,0,0.009999960660934448
angle,1780514055943657433,-0.001196323893964291,0,0.009999762289226055
angle,1780514055964970499,-0.001198580721393228,0,0.009999966248869896
angle,1780514056005450835,-0.00120082835201174,0,0.009999917820096016
angle,1780514056048770805,-0.001203066552989185,0,0.009999819099903107
angle,1780514056076833161,-0.001205295557156205,0,0.009999868459999561
angle,1780514056105298525,-0.001207515248097479,0,0.009999926201999187
angle,1780514056133474822,-0.001209725509397686,0,0.009999951347708702
angle,1780514056154634682,-0.001211926573887467,0,0.009999909438192844
angle,1780514056193018988,-0.001214118325151503,0,0.009999878704547882
angle,1780514056221546380,-0.001216300763189793,0,0.009999886155128479
angle,1780514056249482459,-0.001218474004417658,0,0.00999994296580553
angle,1780514056294344518,-0.001220637932419777,0,0.009999926201999187
angle,1780514056321518584,-0.00122279254719615,0,0.009999780915677547
angle,1780514056347378230,-0.001224937848746777,0,0.009999820031225681
angle,1780514056376681741,-0.001227073953486979,0,0.009999923408031464
angle,1780514056407206684,-0.001229200745001435,0,0.009999909438192844
angle,1780514056439801702,-0.001231318339705467,0,0.009999861940741539
angle,1780514056467868870,-0.001233426621183753,0,0.010000013746321201
angle,1780514056496221051,-0.001235525705851614,0,0.009999850764870644
angle,1780514056536597951,-0.001237615593709052,0,0.009999919682741165
angle,1780514056564735608,-0.001239696168340743,0,0.00999984797090292
angle,1780514056603859532,-0.001241767546162009,0,0.009999838657677174
angle,1780514056649166664,-0.001243829727172852,0,0.009999889880418777
angle,1780514056676971271,-0.00124588271137327,0,0.00999982375651598
angle,1780514056705888012,-0.001247926498763263,0,0.009999966248869896
angle,1780514056744495329,-0.001249961089342833,0,0.009999897330999374
angle,1780514056785357865,-0.001251986366696656,0,0.00999984797090292
angle,1780514056808133683,-0.001254002563655376,0,0.009999929927289486
angle,1780514056842149312,-0.001256009563803673,0,0.009999838657677174
angle,1780514056865833745,-0.001258007367141545,0,0.009999880567193031
angle,1780514056896329757,-0.001259995973668993,0,0.009999829344451427
angle,1780514056944185740,-0.001261975383386016,0,0.009999936446547508
angle,1780514056965575700,-0.001263945712707937,0,0.00999988429248333
angle,1780514056994631551,-0.001265906845219433,0,0.009999897330999374
angle,1780514057016504166,-0.001267858897335827,0,0.009999822825193405
angle,1780514057045135175,-0.001269801636226475,0,0.009999941103160381
angle,1780514057071779397,-0.001271735411137342,0,0.009999888949096203
angle,1780514057100988495,-0.001273659989237785,0,0.009999803267419338
angle,1780514057139714805,-0.001275575370527804,0,0.00999988429248333
angle,1780514057161254292,-0.00127748167142272,0,0.009999938309192657
angle,1780514057198808827,-0.001279378891922534,0,0.009999853558838367
angle,1780514057243492668,-0.001281267032027245,0,0.00999996904283762
angle,1780514057263813550,-0.001283146091736853,0,0.009999864734709263
angle,1780514057291891702,-0.001285015954636037,0,0.009999888017773628
angle,1780514057314345481,-0.001286876853555441,0,0.009999919682741165
angle,1780514057341188458,-0.00128872855566442,0,0.00999993272125721
