name,time,value,timeout,delta_time
angle,1780513223003636295,0.00242703128606081,0,0.009999791160225868
angle,1780513223097076802,0.002416811417788267,0,0.00999999139457941
angle,1780513223205660949,0.002406597370281816,0,0.009999926201999187
angle,1780513223308098227,0.002396389143541455,0,0.009999885223805904
angle,1780513223402235220,0.00238618697039783,0,0.009999868459999561
angle,1780513223497336708,0.002375990618020296,0,0.00999999325722456
angle,1780513223593199857,0.002365800552070141,0,0.009999969974160194
angle,1780513223691285891,0.002355616772547364,0,0.009999928064644337
angle,1780513223784852131,0.00234543951228261,0,0.009999912232160568
angle,1780513223880201401,0.002335268771275878,0,0.009999950416386127
angle,1780513223975741063,0.002325105015188456,0,0.009999915957450867
angle,1780513224082031790,0.002314948011189699,0,0.009999820962548256
angle,1780513224172464774,0.002304797759279609,0,0.009999824687838554
angle,1780513224265941131,0.002294654259458184,0,0.010000007227063179
angle,1780513224368378618,0.002284517744556069,0,0.009999909438192844
angle,1780513224469288716,0.002274387748911977,0,0.009999836795032024
angle,1780513224564172331,0.002264264738187194,0,0.009999888017773628
angle,1780513224665749770,0.00225414801388979,0,0.009999928064644337
angle,1780513224760898588,0.002244038274511695,0,0.00999984610825777
angle,1780513224857291656,0.002233935054391623,0,0.009999916888773441
angle,1780513224949984278,0.002223838586360216,0,0.009999899193644524
angle,1780513225046738570,0.002213748870417476,0,0.009999869391322136
angle,1780513225147956036,0.002203665906563401,0,0.009999934583902359
angle,1780513225232803209,0.002193589927628636,0,0.00999974925071001
angle,1780513225328985382,0.002183520933613181,0,0.00999988242983818
angle,1780513225429215766,0.002173199318349361,0,0.010257980786263943
angle,1780513225522430699,0.002163143828511238,0,0.009999883361160755
angle,1780513225624746103,0.002153095789253712,0,0.00999984797090292
angle,1780513225723119286,0.002143054967746139,0,0.009999939240515232
angle,1780513225824176907,0.002133021596819162,0,0.009999964386224747
angle,1780513225911265936,0.002122995676472783,0,0.009999869391322136
